##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458500.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1885330
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.482940917505157	31.0	30.0	33.0	28.0	34.0
2	28.64524990319997	31.0	28.0	33.0	16.0	34.0
3	27.42218868845242	31.0	25.0	31.0	16.0	34.0
4	30.987124270021695	35.0	28.0	37.0	19.0	37.0
5	33.45189542414325	35.0	32.0	37.0	28.0	37.0
6	34.470201503185116	35.0	35.0	37.0	31.0	37.0
7	34.88677154662579	35.0	35.0	37.0	32.0	37.0
8	34.95893344931657	35.0	35.0	37.0	32.0	37.0
9	36.61903751597863	39.0	35.0	39.0	32.0	39.0
10	36.71766322076241	39.0	35.0	39.0	32.0	39.0
11	36.687549659741265	39.0	35.0	39.0	32.0	39.0
12	36.56711238881257	39.0	35.0	39.0	32.0	39.0
13	36.601166904467654	38.0	35.0	39.0	32.0	39.0
14	37.70392185983356	39.0	36.0	41.0	32.0	41.0
15	37.75214577819268	39.0	37.0	41.0	32.0	41.0
16	37.73102480732816	39.0	36.0	41.0	32.0	41.0
17	37.5518842855097	39.0	36.0	41.0	32.0	41.0
18	37.54836182525075	39.0	36.0	41.0	32.0	41.0
19	37.616539279595614	39.0	36.0	41.0	32.0	41.0
20	37.653951297650806	39.0	36.0	41.0	32.0	41.0
21	37.618846567974835	39.0	36.0	41.0	32.0	41.0
22	37.46007860692823	39.0	36.0	40.0	32.0	41.0
23	37.3852413105398	39.0	36.0	40.0	32.0	41.0
24	37.43180026838803	39.0	36.0	41.0	32.0	41.0
25	37.45759999575671	39.0	36.0	41.0	32.0	41.0
26	37.398822487309914	39.0	36.0	40.0	32.0	41.0
27	37.30391708613346	39.0	36.0	40.0	31.0	41.0
28	37.22755061448129	39.0	36.0	40.0	31.0	41.0
29	37.22577108516811	39.0	36.0	40.0	31.0	41.0
30	37.191564341521115	39.0	36.0	40.0	31.0	41.0
31	37.18615202643569	39.0	36.0	40.0	31.0	41.0
32	37.14709997719232	39.0	36.0	40.0	31.0	41.0
33	37.10218264176563	39.0	36.0	40.0	31.0	41.0
34	37.03497159648443	39.0	36.0	40.0	31.0	41.0
35	36.971490932621876	39.0	36.0	40.0	30.0	41.0
36	36.78193207555176	39.0	36.0	40.0	30.0	41.0
37	36.767699023513124	39.0	35.0	40.0	30.0	41.0
38	36.759293598468176	39.0	35.0	40.0	30.0	41.0
39	36.69741265454854	39.0	35.0	40.0	30.0	41.0
40	36.62406316135637	38.0	35.0	40.0	30.0	41.0
41	36.542745832294614	38.0	35.0	40.0	30.0	41.0
42	36.198883484588904	38.0	35.0	40.0	30.0	41.0
43	36.391871449560554	38.0	35.0	40.0	30.0	41.0
44	36.510137217357176	39.0	35.0	40.0	30.0	41.0
45	36.58727331554688	39.0	35.0	40.0	30.0	41.0
46	36.53836887971867	39.0	35.0	40.0	30.0	41.0
47	36.4592060806331	39.0	35.0	40.0	30.0	41.0
48	36.342698625704784	39.0	35.0	40.0	30.0	41.0
49	36.22483597036063	39.0	35.0	40.0	30.0	41.0
50	36.0707446441737	39.0	35.0	40.0	30.0	41.0
51	34.859277686134526	38.0	34.0	40.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.770791295247399
1101	2	2.544043636042943
1101	3	2.6026932346284966
1101	4	3.742122573800607
1101	5	1.8228734098677108
1101	6	1.0834224085329112
1101	7	0.7049909067358726
1101	8	0.6420527027296004
1101	9	0.6475375553836002
1101	10	0.6531635983511634
1101	11	0.4941345330357194
1101	12	0.6016230797553987
1101	13	0.45652215968927834
1101	14	0.6333899062119741
1101	15	0.6398222727911005
1101	16	0.6950205452702818
1101	17	0.5343362304794539
1101	18	0.6690835473078351
1101	19	0.5898540668283729
1101	20	0.5938676070592663
1101	21	0.6850135464915965
1101	22	0.7837148689189561
1101	23	0.5419712145068587
1101	24	0.6912308287757156
1101	25	0.5816936718293917
1101	26	0.5159936058809222
1101	27	0.4337543538141375
1101	28	0.5977605642429182
1101	29	0.5212214664436985
1101	30	0.5354443512083549
1101	31	0.568689220344595
1101	32	0.5179023073083542
1101	33	0.6404934682989207
1101	34	0.5025888306074293
1101	35	0.6545646181179663
1101	36	0.6808527955124077
1101	37	0.6474934279718525
1101	38	0.5741694319128783
1101	39	0.36206585084730136
1101	40	0.36261506290972534
1101	41	0.3556633313251112
1101	42	0.6384451267968245
1101	43	0.8780423230109378
1101	44	0.6833395248059446
1101	45	0.593643659030846
1101	46	0.5540251313880304
1101	47	0.6894502619401379
1101	48	0.5404288438854792
1101	49	0.7076687540101361
1101	50	0.5884596229577497
1101	51	0.9393139114301334
1102	1	0.45272812081832825
1102	2	1.0331480396303725
1102	3	2.0537839186218463
1102	4	2.6894306458574135
1102	5	1.203894679694308
1102	6	0.6658794759811286
1102	7	0.462999729151953
1102	8	0.4074618440452511
1102	9	0.284580875836852
1102	10	0.4393436870750307
1102	11	0.3194980839561623
1102	12	0.3115217090036282
1102	13	0.3265853690981899
1102	14	0.322391202548296
1102	15	0.2665153075964568
1102	16	0.352335517517524
1102	17	0.24097965220768458
1102	18	0.33386900635372996
1102	19	0.4689922551140384
1102	20	0.3806756672479139
1102	21	0.40936905329746764
1102	22	0.3627457856864993
1102	23	0.3715400504651356
1102	24	0.4416007197926817
1102	25	0.49789716789810967
1102	26	0.3769868335334863
1102	27	0.47763052850180543
1102	28	0.5089796409166496
1102	29	0.5061672247837947
1102	30	0.3516077870284633
1102	31	0.3032734162017334
1102	32	0.1672300072212778
1102	33	0.20251980895345412
1102	34	0.21760763435510455
1102	35	0.24884862029504262
1102	36	0.39867519202308443
1102	37	0.22546932769297
1102	38	0.10932396577940295
1102	39	0.10281024688907792
1102	40	0.07692573305271821
1102	41	0.08081025707581091
1102	42	0.4280070167577321
1102	43	0.621038546437191
1102	44	0.4337783344418966
1102	45	0.4064611063101822
1102	46	0.34660902991650744
1102	47	0.25270714349547063
1102	48	0.3227217975709209
1102	49	0.2538136213636548
1102	50	0.3193521961124688
1102	51	0.3495585496240423
1103	1	0.20547261565990027
1103	2	2.815434411305084
1103	3	-0.09963036514192325
1103	4	-0.00903977992825844
1103	5	0.07931738078722361
1103	6	0.19620692519765726
1103	7	0.2958220865746455
1103	8	0.33909755709127865
1103	9	0.2254172039267246
1103	10	0.18275320840830744
1103	11	0.1137501983598952
1103	12	0.32605898999334215
1103	13	0.07357988783901703
1103	14	0.08629986231063214
1103	15	-0.06734130513736858
1103	16	0.13207539343301988
1103	17	0.14088303170414918
1103	18	0.3165343690682292
1103	19	0.24411429375658145
1103	20	0.2564642066233276
1103	21	0.3030997828203823
1103	22	0.4551321466256013
1103	23	0.27055561884390755
