##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458501.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1870525
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	24	0.3966024490152691
1103	25	0.353825594137561
1103	26	0.26842310285686466
1103	27	0.2357145520756987
1103	28	0.0910833756569076
1103	29	0.05814676127533147
1103	30	0.20589793699604542
1103	31	0.08983061585409757
1103	32	0.17721116271034276
1103	33	0.2819798752627989
1103	34	0.3184143969338109
1103	35	0.214454714695286
1103	36	0.38212837464273264
1103	37	0.3181628861518888
1103	38	0.21191407703567222
1103	39	0.3177772033712145
1103	40	0.1618060554822378
1103	41	0.2188258035263857
1103	42	0.1993248153059426
1103	43	0.37364344500669233
1103	44	0.24908033168475896
1103	45	0.2081258163103925
1103	46	0.3596971775182638
1103	47	0.13851054343504643
1103	48	0.33634754034339664
1103	49	0.19131645609042636
1103	50	0.2790079759526094
1103	51	0.43607279530080234
1104	1	0.12533383858734837
1104	2	3.0850832804922597
1104	3	0.7256882323632432
1104	4	-0.5485122417071757
1104	5	-0.16813230807546375
1104	6	0.09277550881419927
1104	7	0.3050337657029303
1104	8	0.3269110670825057
1104	9	0.3125086791632157
1104	10	0.24302638329960047
1104	11	0.3483629892018669
1104	12	0.09022648067671213
1104	13	0.2622713601854656
1104	14	0.19873434737142048
1104	15	0.16462489680706938
1104	16	0.19963318890647486
1104	17	0.11730794451531068
1104	18	0.36064299503162545
1104	19	0.16723101126559214
1104	20	0.293646733178754
1104	21	0.3140741984692639
1104	22	0.33391881220599373
1104	23	0.16667914872019196
1104	24	0.24110389099845264
1104	25	0.46477116694237
1104	26	0.17533480439702487
1104	27	0.18125667639305476
1104	28	0.12847062484387095
1104	29	0.005395948242259863
1104	30	0.17427739333770376
1104	31	0.291806439625347
1104	32	0.09142604888571526
1104	33	0.14440731589604638
1104	34	0.13068168539180647
1104	35	0.03920160062521205
1104	36	0.004840530254192288
1104	37	0.027801469940314405
1104	38	0.14406968849790047
1104	39	4.770867853380878E-4
1104	40	0.07291362129189594
1104	41	0.09390342517453831
1104	42	0.005497730566418113
1104	43	0.04209408009290172
1104	44	0.049797028009237465
1104	45	0.042507604369546925
1104	46	0.012796520955703272
1104	47	-0.1394780434214269
1104	48	0.12932048014827302
1104	49	0.3387399082595337
1104	50	0.12215088569060129
1104	51	0.21758718445217795
1105	1	-0.6747395754047787
1105	2	-2.8294377173584486
1105	3	-2.3561393896512968
1105	4	-2.6496791377925675
1105	5	-1.194432870755076
1105	6	-0.4188354936248899
1105	7	-0.09122018875141436
1105	8	-0.02437391927311694
1105	9	-0.044246615579474735
1105	10	-0.20333503571558964
1105	11	-0.22497710594652887
1105	12	-0.13237150526837382
1105	13	-0.15527554990654835
1105	14	-0.11662414957368838
1105	15	-0.1560667402766569
1105	16	-0.0952495660501782
1105	17	-0.28954515505241574
1105	18	-0.2110100272582187
1105	19	-0.19810502679376185
1105	20	-0.07774451027073326
1105	21	0.09292758782906674
1105	22	0.021186797426601345
1105	23	-0.10634990293524282
1105	24	-0.16176698248315802
1105	25	-0.05688740969555539
1105	26	-0.05915479931231715
1105	27	-0.2508788497003067
1105	28	-0.3459600544770467
1105	29	-0.22952013280292505
1105	30	-0.2355890608147746
1105	31	-0.29260033184945655
1105	32	-0.43732180786040686
1105	33	-0.3133496934497515
1105	34	-0.24554908569660228
1105	35	-0.3869738684757067
1105	36	-0.4483793011834152
1105	37	-0.16453739359176467
1105	38	-0.2553671489045968
1105	39	-0.1791341088484657
1105	40	-0.31364582230732196
1105	41	-0.24161252546421252
1105	42	-0.26973953669432404
1105	43	-0.05711575351814702
